Test (2B): basic agreement ...
002854 VOTE S2  vote vf(2) to own
013061 LEAD S2  app -> 1 cT(1)
013061 LEAD S2  app -> 0 cT(1)
013063 LEAD S1  app <- 2 T(1) cT(1)
013063 LEAD S1  app vf(2)
013064 LEAD S0  app <- 2 T(1) cT(1)
013064 LEAD S0  app vf(2)
014075 LEAD S2  app -> 1 cT(1)
014076 LEAD S2  app -> 0 cT(1)
014080 LEAD S1  app <- 2 T(1) cT(1)
014080 LEAD S1  app vf(2)
014082 LEAD S0  app <- 2 T(1) cT(1)
014083 LEAD S0  app vf(2)
015090 LEAD S2  app -> 1 cT(1)
015091 LEAD S2  app -> 0 cT(1)
015095 LEAD S1  app <- 2 T(1) cT(1)
015096 LEAD S1  app vf(2)
015097 LEAD S0  app <- 2 T(1) cT(1)
015097 LEAD S0  app vf(2)
016107 LEAD S2  app -> 1 cT(1)
016108 LEAD S2  app -> 0 cT(1)
016113 LEAD S1  app <- 2 T(1) cT(1)
016114 LEAD S1  app vf(2)
016114 LEAD S0  app <- 2 T(1) cT(1)
016115 LEAD S0  app vf(2)
017137 LEAD S2  app -> 1 cT(1)
017138 LEAD S2  app -> 0 cT(1)
017142 LEAD S1  app <- 2 T(1) cT(1)
017143 LEAD S1  app vf(2)
017143 LEAD S0  app <- 2 T(1) cT(1)
017145 LEAD S0  app vf(2)
018163 LEAD S2  app -> 1 cT(1)
018163 LEAD S2  app -> 0 cT(1)
018169 LEAD S1  app <- 2 T(1) cT(1)
018170 LEAD S1  app vf(2)
018171 LEAD S0  app <- 2 T(1) cT(1)
018171 LEAD S0  app vf(2)
019189 LEAD S2  app -> 1 cT(1)
019189 LEAD S2  app -> 0 cT(1)
019194 LEAD S1  app <- 2 T(1) cT(1)
019194 LEAD S1  app vf(2)
019195 LEAD S0  app <- 2 T(1) cT(1)
019196 LEAD S0  app vf(2)
020211 LEAD S2  app -> 1 cT(1)
020212 LEAD S2  app -> 0 cT(1)
020217 LEAD S1  app <- 2 T(1) cT(1)
020218 LEAD S1  app vf(2)
020218 LEAD S0  app <- 2 T(1) cT(1)
020219 LEAD S0  app vf(2)
021238 LEAD S2  app -> 0 cT(1)
021238 LEAD S2  app -> 1 cT(1)
021243 LEAD S0  app <- 2 T(1) cT(1)
021244 LEAD S0  app vf(2)
021245 LEAD S1  app <- 2 T(1) cT(1)
021246 LEAD S1  app vf(2)
022269 LEAD S2  app -> 1 cT(1)
022269 LEAD S2  app -> 0 cT(1)
022274 LEAD S1  app <- 2 T(1) cT(1)
022275 LEAD S1  app vf(2)
022277 LEAD S0  app <- 2 T(1) cT(1)
022278 LEAD S0  app vf(2)
023296 LEAD S2  app -> 1 cT(1)
023297 LEAD S2  app -> 0 cT(1)
023301 LEAD S1  app <- 2 T(1) cT(1)
023302 LEAD S1  app vf(2)
023301 LEAD S0  app <- 2 T(1) cT(1)
023303 LEAD S0  app vf(2)
024327 LEAD S2  app -> 1 cT(1)
024328 LEAD S2  app -> 0 cT(1)
024333 LEAD S1  app <- 2 T(1) cT(1)
024333 LEAD S1  app vf(2)
024334 LEAD S0  app <- 2 T(1) cT(1)
024335 LEAD S0  app vf(2)
025344 LEAD S2  app -> 1 cT(1)
025345 LEAD S2  app -> 0 cT(1)
025349 LEAD S1  app <- 2 T(1) cT(1)
025350 LEAD S1  app vf(2)
025352 LEAD S0  app <- 2 T(1) cT(1)
025353 LEAD S0  app vf(2)
026361 LEAD S2  app -> 1 cT(1)
026361 LEAD S2  app -> 0 cT(1)
026366 LEAD S1  app <- 2 T(1) cT(1)
026367 LEAD S1  app vf(2)
026368 LEAD S0  app <- 2 T(1) cT(1)
026369 LEAD S0  app vf(2)
027385 LEAD S2  app -> 1 cT(1)
027386 LEAD S2  app -> 0 cT(1)
027390 LEAD S1  app <- 2 T(1) cT(1)
027390 LEAD S0  app <- 2 T(1) cT(1)
027390 LEAD S1  app vf(2)
027391 LEAD S0  app vf(2)
028399 LEAD S2  app -> 1 cT(1)
028399 LEAD S2  app -> 0 cT(1)
028404 LEAD S1  app <- 2 T(1) cT(1)
028405 LEAD S1  app vf(2)
028407 LEAD S0  app <- 2 T(1) cT(1)
028407 LEAD S0  app vf(2)
029408 LEAD S2  app -> 1 cT(1)
029408 LEAD S2  app -> 0 cT(1)
029413 LEAD S1  app <- 2 T(1) cT(1)
029457 LEAD S1  app vf(2)
029461 LEAD S0  app <- 2 T(1) cT(1)
029462 LEAD S0  app vf(2)
030415 LEAD S2  app -> 1 cT(1)
030415 LEAD S2  app -> 0 cT(1)
030425 LEAD S1  app <- 2 T(1) cT(1)
030426 LEAD S0  app <- 2 T(1) cT(1)
030427 LEAD S0  app vf(2)
030426 LEAD S1  app vf(2)
031398 LEAD S2  app -> 0 cT(1)
031398 LEAD S2  app -> 1 cT(1)
031401 LEAD S0  app <- 2 T(1) cT(1)
031401 LEAD S0  app vf(2)
031402 LEAD S1  app <- 2 T(1) cT(1)
031402 LEAD S1  app vf(2)
032390 LEAD S2  app -> 1 cT(1)
032390 LEAD S2  app -> 0 cT(1)
032394 LEAD S1  app <- 2 T(1) cT(1)
032394 LEAD S1  app vf(2)
032394 LEAD S0  app <- 2 T(1) cT(1)
032394 LEAD S0  app vf(2)
033377 LEAD S2  app -> 1 cT(1)
033377 LEAD S2  app -> 0 cT(1)
033382 LEAD S1  app <- 2 T(1) cT(1)
033383 LEAD S1  app vf(2)
033383 LEAD S0  app <- 2 T(1) cT(1)
033384 LEAD S0  app vf(2)
034390 LEAD S2  app -> 1 cT(1)
034390 LEAD S2  app -> 0 cT(1)
034394 LEAD S1  app <- 2 T(1) cT(1)
034394 LEAD S1  app vf(2)
034394 LEAD S0  app <- 2 T(1) cT(1)
034396 LEAD S0  app vf(2)
035414 LEAD S2  app -> 1 cT(1)
035415 LEAD S2  app -> 0 cT(1)
035419 LEAD S1  app <- 2 T(1) cT(1)
035420 LEAD S0  app <- 2 T(1) cT(1)
035421 LEAD S0  app vf(2)
035420 LEAD S1  app vf(2)
036429 LEAD S2  app -> 1 cT(1)
036430 LEAD S2  app -> 0 cT(1)
036435 LEAD S1  app <- 2 T(1) cT(1)
036436 LEAD S1  app vf(2)
036435 LEAD S0  app <- 2 T(1) cT(1)
036437 LEAD S0  app vf(2)
037441 LEAD S2  app -> 1 cT(1)
037442 LEAD S2  app -> 0 cT(1)
037447 LEAD S0  app <- 2 T(1) cT(1)
037448 LEAD S1  app <- 2 T(1) cT(1)
037448 LEAD S0  app vf(2)
037448 LEAD S1  app vf(2)
038472 LEAD S2  app -> 0 cT(1)
038472 LEAD S2  app -> 1 cT(1)
038478 LEAD S0  app <- 2 T(1) cT(1)
038479 LEAD S0  app vf(2)
038484 LEAD S1  app <- 2 T(1) cT(1)
038485 LEAD S1  app vf(2)
039486 LEAD S2  app -> 0 cT(1)
039485 LEAD S2  app -> 1 cT(1)
039491 LEAD S1  app <- 2 T(1) cT(1)
039491 LEAD S1  app vf(2)
039491 LEAD S0  app <- 2 T(1) cT(1)
039494 LEAD S0  app vf(2)
040477 LEAD S2  app -> 1 cT(1)
040478 LEAD S2  app -> 0 cT(1)
040481 LEAD S0  app <- 2 T(1) cT(1)
040482 LEAD S1  app <- 2 T(1) cT(1)
040482 LEAD S0  app vf(2)
040482 LEAD S1  app vf(2)
041480 LEAD S2  app -> 1 cT(1)
041480 LEAD S2  app -> 0 cT(1)
041483 LEAD S1  app <- 2 T(1) cT(1)
041483 LEAD S1  app vf(2)
041484 LEAD S0  app <- 2 T(1) cT(1)
041484 LEAD S0  app vf(2)
042482 LEAD S2  app -> 1 cT(1)
042482 LEAD S2  app -> 0 cT(1)
042485 LEAD S1  app <- 2 T(1) cT(1)
042485 LEAD S1  app vf(2)
042486 LEAD S0  app <- 2 T(1) cT(1)
042486 LEAD S0  app vf(2)
043481 LEAD S2  app -> 1 cT(1)
043481 LEAD S2  app -> 0 cT(1)
043484 LEAD S1  app <- 2 T(1) cT(1)
043484 LEAD S1  app vf(2)
043484 LEAD S0  app <- 2 T(1) cT(1)
043485 LEAD S0  app vf(2)
044468 LEAD S2  app -> 1 cT(1)
044468 LEAD S2  app -> 0 cT(1)
044470 LEAD S1  app <- 2 T(1) cT(1)
044470 LEAD S1  app vf(2)
044470 LEAD S0  app <- 2 T(1) cT(1)
044471 LEAD S0  app vf(2)
045466 LEAD S2  app -> 1 cT(1)
045466 LEAD S2  app -> 0 cT(1)
045472 LEAD S1  app <- 2 T(1) cT(1)
045473 LEAD S0  app <- 2 T(1) cT(1)
045474 LEAD S0  app vf(2)
045473 LEAD S1  app vf(2)
046487 LEAD S2  app -> 1 cT(1)
046488 LEAD S2  app -> 0 cT(1)
046491 LEAD S1  app <- 2 T(1) cT(1)
046491 LEAD S1  app vf(2)
046492 LEAD S0  app <- 2 T(1) cT(1)
046493 LEAD S0  app vf(2)
047476 LEAD S2  app -> 1 cT(1)
047477 LEAD S2  app -> 0 cT(1)
047479 LEAD S0  app <- 2 T(1) cT(1)
047479 LEAD S1  app <- 2 T(1) cT(1)
047479 LEAD S0  app vf(2)
047479 LEAD S1  app vf(2)
048481 LEAD S2  app -> 1 cT(1)
048482 LEAD S2  app -> 0 cT(1)
048485 LEAD S1  app <- 2 T(1) cT(1)
048486 LEAD S1  app vf(2)
048486 LEAD S0  app <- 2 T(1) cT(1)
048487 LEAD S0  app vf(2)
049496 LEAD S2  app -> 1 cT(1)
049496 LEAD S2  app -> 0 cT(1)
049503 LEAD S1  app <- 2 T(1) cT(1)
049504 LEAD S1  app vf(2)
049504 LEAD S0  app <- 2 T(1) cT(1)
049506 LEAD S0  app vf(2)
050519 LEAD S2  app -> 0 cT(1)
050518 LEAD S2  app -> 1 cT(1)
050525 LEAD S0  app <- 2 T(1) cT(1)
050527 LEAD S1  app <- 2 T(1) cT(1)
050528 LEAD S1  app vf(2)
050527 LEAD S0  app vf(2)
051526 LEAD S2  app -> 0 cT(1)
051526 LEAD S2  app -> 1 cT(1)
051529 LEAD S0  app <- 2 T(1) cT(1)
051529 LEAD S0  app vf(2)
051531 LEAD S1  app <- 2 T(1) cT(1)
051532 LEAD S1  app vf(2)
052533 LEAD S2  app -> 0 cT(1)
052533 LEAD S2  app -> 1 cT(1)
052536 LEAD S1  app <- 2 T(1) cT(1)
052537 LEAD S1  app vf(2)
052536 LEAD S0  app <- 2 T(1) cT(1)
052538 LEAD S0  app vf(2)
053532 LEAD S2  app -> 1 cT(1)
053532 LEAD S2  app -> 0 cT(1)
053535 LEAD S1  app <- 2 T(1) cT(1)
053536 LEAD S0  app <- 2 T(1) cT(1)
053536 LEAD S0  app vf(2)
053536 LEAD S1  app vf(2)
054517 LEAD S2  app -> 1 cT(1)
054517 LEAD S2  app -> 0 cT(1)
054519 LEAD S1  app <- 2 T(1) cT(1)
054519 LEAD S1  app vf(2)
054519 LEAD S0  app <- 2 T(1) cT(1)
054519 LEAD S0  app vf(2)
055516 LEAD S2  app -> 1 cT(1)
055517 LEAD S2  app -> 0 cT(1)
055521 LEAD S1  app <- 2 T(1) cT(1)
055522 LEAD S1  app vf(2)
055523 LEAD S0  app <- 2 T(1) cT(1)
055524 LEAD S0  app vf(2)
056518 LEAD S2  app -> 1 cT(1)
056518 LEAD S2  app -> 0 cT(1)
056520 LEAD S1  app <- 2 T(1) cT(1)
056520 LEAD S1  app vf(2)
056520 LEAD S0  app <- 2 T(1) cT(1)
056521 LEAD S0  app vf(2)
057528 LEAD S2  app -> 1 cT(1)
057529 LEAD S2  app -> 0 cT(1)
057534 LEAD S1  app <- 2 T(1) cT(1)
057535 LEAD S1  app vf(2)
057535 LEAD S0  app <- 2 T(1) cT(1)
057536 LEAD S0  app vf(2)
058570 LEAD S2  app -> 1 cT(1)
058571 LEAD S2  app -> 0 cT(1)
058573 LEAD S1  app <- 2 T(1) cT(1)
058573 LEAD S1  app vf(2)
058573 LEAD S0  app <- 2 T(1) cT(1)
058574 LEAD S0  app vf(2)
059555 LEAD S2  app -> 1 cT(1)
059555 LEAD S2  app -> 0 cT(1)
059557 LEAD S1  app <- 2 T(1) cT(1)
059557 LEAD S1  app vf(2)
059557 LEAD S0  app <- 2 T(1) cT(1)
059557 LEAD S0  app vf(2)
060576 LEAD S2  app -> 1 cT(1)
060578 LEAD S2  app -> 0 cT(1)
060582 LEAD S0  app <- 2 T(1) cT(1)
060583 LEAD S0  app vf(2)
060582 LEAD S1  app <- 2 T(1) cT(1)
060584 LEAD S1  app vf(2)
061606 LEAD S2  app -> 1 cT(1)
061609 LEAD S2  app -> 0 cT(1)
061613 LEAD S1  app <- 2 T(1) cT(1)
061615 LEAD S1  app vf(2)
061619 LEAD S0  app <- 2 T(1) cT(1)
061621 LEAD S0  app vf(2)
062598 LEAD S2  app -> 1 cT(1)
062599 LEAD S2  app -> 0 cT(1)
062601 LEAD S1  app <- 2 T(1) cT(1)
062601 LEAD S1  app vf(2)
062602 LEAD S0  app <- 2 T(1) cT(1)
062602 LEAD S0  app vf(2)
063625 LEAD S2  app -> 1 cT(1)
063625 LEAD S2  app -> 0 cT(1)
063631 LEAD S1  app <- 2 T(1) cT(1)
063632 LEAD S1  app vf(2)
063632 LEAD S0  app <- 2 T(1) cT(1)
063633 LEAD S0  app vf(2)
064641 LEAD S2  app -> 1 cT(1)
064641 LEAD S2  app -> 0 cT(1)
064645 LEAD S1  app <- 2 T(1) cT(1)
064646 LEAD S1  app vf(2)
064647 LEAD S0  app <- 2 T(1) cT(1)
064647 LEAD S0  app vf(2)
065663 LEAD S2  app -> 1 cT(1)
065664 LEAD S2  app -> 0 cT(1)
065669 LEAD S1  app <- 2 T(1) cT(1)
065670 LEAD S1  app vf(2)
065670 LEAD S0  app <- 2 T(1) cT(1)
065671 LEAD S0  app vf(2)
066731 LEAD S2  app -> 0 cT(1)
066731 LEAD S2  app -> 1 cT(1)
066733 LEAD S0  app <- 2 T(1) cT(1)
066733 LEAD S0  app vf(2)
066734 LEAD S1  app <- 2 T(1) cT(1)
066735 LEAD S1  app vf(2)
067742 LEAD S2  app -> 0 cT(1)
067742 LEAD S2  app -> 1 cT(1)
067746 LEAD S0  app <- 2 T(1) cT(1)
067747 LEAD S0  app vf(2)
067749 LEAD S1  app <- 2 T(1) cT(1)
067750 LEAD S1  app vf(2)
068776 LEAD S2  app -> 1 cT(1)
068777 LEAD S2  app -> 0 cT(1)
068781 LEAD S1  app <- 2 T(1) cT(1)
068782 LEAD S1  app vf(2)
068784 LEAD S0  app <- 2 T(1) cT(1)
068785 LEAD S0  app vf(2)
069804 LEAD S2  app -> 0 cT(1)
069803 LEAD S2  app -> 1 cT(1)
069809 LEAD S0  app <- 2 T(1) cT(1)
069810 LEAD S0  app vf(2)
069811 LEAD S1  app <- 2 T(1) cT(1)
069812 LEAD S1  app vf(2)
070796 LEAD S2  app -> 1 cT(1)
070797 LEAD S2  app -> 0 cT(1)
070798 LEAD S1  app <- 2 T(1) cT(1)
070799 LEAD S1  app vf(2)
070799 LEAD S0  app <- 2 T(1) cT(1)
070799 LEAD S0  app vf(2)
071792 LEAD S2  app -> 1 cT(1)
071792 LEAD S2  app -> 0 cT(1)
071794 LEAD S1  app <- 2 T(1) cT(1)
071794 LEAD S0  app <- 2 T(1) cT(1)
071795 LEAD S0  app vf(2)
071794 LEAD S1  app vf(2)
072782 LEAD S2  app -> 1 cT(1)
072782 LEAD S2  app -> 0 cT(1)
072786 LEAD S1  app <- 2 T(1) cT(1)
072787 LEAD S1  app vf(2)
072789 LEAD S0  app <- 2 T(1) cT(1)
072789 LEAD S0  app vf(2)
073798 LEAD S2  app -> 1 cT(1)
073798 LEAD S2  app -> 0 cT(1)
073801 LEAD S1  app <- 2 T(1) cT(1)
073801 LEAD S1  app vf(2)
073802 LEAD S0  app <- 2 T(1) cT(1)
073802 LEAD S0  app vf(2)
074779 LEAD S2  app -> 1 cT(1)
074780 LEAD S2  app -> 0 cT(1)
074781 LEAD S1  app <- 2 T(1) cT(1)
074782 LEAD S1  app vf(2)
074782 LEAD S0  app <- 2 T(1) cT(1)
074782 LEAD S0  app vf(2)
075792 LEAD S2  app -> 1 cT(1)
075793 LEAD S2  app -> 0 cT(1)
075797 LEAD S1  app <- 2 T(1) cT(1)
075798 LEAD S1  app vf(2)
075798 LEAD S0  app <- 2 T(1) cT(1)
075799 LEAD S0  app vf(2)
076815 LEAD S2  app -> 1 cT(1)
076816 LEAD S2  app -> 0 cT(1)
076819 LEAD S1  app <- 2 T(1) cT(1)
076820 LEAD S1  app vf(2)
076822 LEAD S0  app <- 2 T(1) cT(1)
076822 LEAD S0  app vf(2)
077848 LEAD S2  app -> 1 cT(1)
077848 LEAD S2  app -> 0 cT(1)
077853 LEAD S1  app <- 2 T(1) cT(1)
077854 LEAD S1  app vf(2)
077854 LEAD S0  app <- 2 T(1) cT(1)
077855 LEAD S0  app vf(2)
078849 LEAD S2  app -> 1 cT(1)
078849 LEAD S2  app -> 0 cT(1)
078852 LEAD S1  app <- 2 T(1) cT(1)
078852 LEAD S1  app vf(2)
078853 LEAD S0  app <- 2 T(1) cT(1)
078853 LEAD S0  app vf(2)
079869 LEAD S2  app -> 1 cT(1)
079870 LEAD S2  app -> 0 cT(1)
079875 LEAD S1  app <- 2 T(1) cT(1)
079876 LEAD S1  app vf(2)
079876 LEAD S0  app <- 2 T(1) cT(1)
079877 LEAD S0  app vf(2)
080890 LEAD S2  app -> 1 cT(1)
080890 LEAD S2  app -> 0 cT(1)
080895 LEAD S1  app <- 2 T(1) cT(1)
080895 LEAD S1  app vf(2)
080896 LEAD S0  app <- 2 T(1) cT(1)
080897 LEAD S0  app vf(2)
081918 LEAD S2  app -> 1 cT(1)
081918 LEAD S2  app -> 0 cT(1)
081923 LEAD S1  app <- 2 T(1) cT(1)
081924 LEAD S1  app vf(2)
081924 LEAD S0  app <- 2 T(1) cT(1)
081926 LEAD S0  app vf(2)
082935 LEAD S2  app -> 1 cT(1)
082936 LEAD S2  app -> 0 cT(1)
082939 LEAD S0  app <- 2 T(1) cT(1)
082940 LEAD S0  app vf(2)
082941 LEAD S1  app <- 2 T(1) cT(1)
082941 LEAD S1  app vf(2)
083931 LEAD S2  app -> 1 cT(1)
083931 LEAD S2  app -> 0 cT(1)
083933 LEAD S1  app <- 2 T(1) cT(1)
083933 LEAD S1  app vf(2)
083934 LEAD S0  app <- 2 T(1) cT(1)
083935 LEAD S0  app vf(2)
084981 LEAD S2  app -> 1 cT(1)
084981 LEAD S2  app -> 0 cT(1)
084986 LEAD S1  app <- 2 T(1) cT(1)
084987 LEAD S1  app vf(2)
084989 LEAD S0  app <- 2 T(1) cT(1)
084990 LEAD S0  app vf(2)
086029 LEAD S2  app -> 1 cT(1)
086029 LEAD S2  app -> 0 cT(1)
086034 LEAD S1  app <- 2 T(1) cT(1)
086035 LEAD S1  app vf(2)
086036 LEAD S0  app <- 2 T(1) cT(1)
086036 LEAD S0  app vf(2)
087087 LEAD S2  app -> 0 cT(1)
087086 LEAD S2  app -> 1 cT(1)
087091 LEAD S0  app <- 2 T(1) cT(1)
087092 LEAD S0  app vf(2)
087095 LEAD S1  app <- 2 T(1) cT(1)
087096 LEAD S1  app vf(2)
088122 LEAD S2  app -> 1 cT(1)
088122 LEAD S2  app -> 0 cT(1)
088125 LEAD S1  app <- 2 T(1) cT(1)
088126 LEAD S1  app vf(2)
088126 LEAD S0  app <- 2 T(1) cT(1)
088126 LEAD S0  app vf(2)
089132 LEAD S2  app -> 1 cT(1)
089132 LEAD S2  app -> 0 cT(1)
089134 LEAD S1  app <- 2 T(1) cT(1)
089135 LEAD S1  app vf(2)
089135 LEAD S0  app <- 2 T(1) cT(1)
089136 LEAD S0  app vf(2)
090149 LEAD S2  app -> 1 cT(1)
090149 LEAD S2  app -> 0 cT(1)
090155 LEAD S1  app <- 2 T(1) cT(1)
090156 LEAD S0  app <- 2 T(1) cT(1)
090157 LEAD S0  app vf(2)
090156 LEAD S1  app vf(2)
091179 LEAD S2  app -> 1 cT(1)
091179 LEAD S2  app -> 0 cT(1)
091184 LEAD S1  app <- 2 T(1) cT(1)
091184 LEAD S1  app vf(2)
091184 LEAD S0  app <- 2 T(1) cT(1)
091186 LEAD S0  app vf(2)
092203 LEAD S2  app -> 1 cT(1)
092203 LEAD S2  app -> 0 cT(1)
092205 LEAD S1  app <- 2 T(1) cT(1)
092205 LEAD S1  app vf(2)
092206 LEAD S0  app <- 2 T(1) cT(1)
092206 LEAD S0  app vf(2)
093204 LEAD S2  app -> 1 cT(1)
093205 LEAD S2  app -> 0 cT(1)
093209 LEAD S1  app <- 2 T(1) cT(1)
093210 LEAD S1  app vf(2)
093210 LEAD S0  app <- 2 T(1) cT(1)
093211 LEAD S0  app vf(2)
094234 LEAD S2  app -> 1 cT(1)
094234 LEAD S2  app -> 0 cT(1)
094239 LEAD S1  app <- 2 T(1) cT(1)
094240 LEAD S1  app vf(2)
094240 LEAD S0  app <- 2 T(1) cT(1)
094241 LEAD S0  app vf(2)
095269 LEAD S2  app -> 1 cT(1)
095269 LEAD S2  app -> 0 cT(1)
095274 LEAD S1  app <- 2 T(1) cT(1)
095275 LEAD S1  app vf(2)
095276 LEAD S0  app <- 2 T(1) cT(1)
095276 LEAD S0  app vf(2)
096289 LEAD S2  app -> 1 cT(1)
096290 LEAD S2  app -> 0 cT(1)
096295 LEAD S1  app <- 2 T(1) cT(1)
096296 LEAD S1  app vf(2)
096297 LEAD S0  app <- 2 T(1) cT(1)
096298 LEAD S0  app vf(2)
097307 LEAD S2  app -> 0 cT(1)
097307 LEAD S2  app -> 1 cT(1)
097310 LEAD S0  app <- 2 T(1) cT(1)
097311 LEAD S0  app vf(2)
097311 LEAD S1  app <- 2 T(1) cT(1)
097311 LEAD S1  app vf(2)
098321 LEAD S2  app -> 1 cT(1)
098321 LEAD S2  app -> 0 cT(1)
098322 LEAD S0  app <- 2 T(1) cT(1)
098323 LEAD S1  app <- 2 T(1) cT(1)
098323 LEAD S1  app vf(2)
098323 LEAD S0  app vf(2)
099340 LEAD S2  app -> 1 cT(1)
099340 LEAD S2  app -> 0 cT(1)
099346 LEAD S1  app <- 2 T(1) cT(1)
099347 LEAD S1  app vf(2)
099347 LEAD S0  app <- 2 T(1) cT(1)
099348 LEAD S0  app vf(2)
--- FAIL: TestBasicAgree2B (10.02s)
    config.go:612: one(100) failed to reach agreement
FAIL
exit status 1
FAIL	6.824/raft	10.028s
